,Order,Butterfly_Moth,Family,Genus,Species,Subspecies,Sex,Name
416,Lepidoptera,Butterfly,Nymphalidae,Acraea,Acraea andromacha,Acraea andromacha,Acraea andromacha male,Lepidoptera Butterfly Nymphalidae Acraea andromacha nan male
421,Lepidoptera,Butterfly,Nymphalidae,Neptis,Neptis nata,Neptis nata,,Lepidoptera Butterfly Nymphalidae Neptis nata nan nan
422,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma selenophora,Athyma selenophora,,Lepidoptera Butterfly Nymphalidae Athyma selenophora nan nan
424,Lepidoptera,Butterfly,Nymphalidae,Lasippa,Lasippa monata,Lasippa monata,,Lepidoptera Butterfly Nymphalidae Lasippa monata nan nan
425,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos sylvia,Parthenos sylvia bellimontis,,Lepidoptera Butterfly Nymphalidae Parthenos sylvia bellimontis nan
428,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos sylvia,Parthenos sylvia borneensis,Parthenos sylvia borneensis female,Lepidoptera Butterfly Nymphalidae Parthenos sylvia borneensis female
432,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea climena,Euploea climena elwesiana,,Lepidoptera Butterfly Nymphalidae Euploea climena elwesiana nan
433,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea eunice,Euploea eunice,,Lepidoptera Butterfly Nymphalidae Euploea eunice nan nan
437,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea tulliolus,Euploea tulliolus mazares,,Lepidoptera Butterfly Nymphalidae Euploea tulliolus mazares nan
439,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma perius,Athyma perius perius,,Lepidoptera Butterfly Nymphalidae Athyma perius perius nan
440,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma perius,Athyma perius perius,Athyma perius perius male,Lepidoptera Butterfly Nymphalidae Athyma perius perius male
455,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma perius,Athyma perius perinus,Athyma perius perinus female,Lepidoptera Butterfly Nymphalidae Athyma perius perinus female
456,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma perius,Athyma perius perinus,Athyma perius perinus male,Lepidoptera Butterfly Nymphalidae Athyma perius perinus male
459,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma perius,Athyma perius perinus,,Lepidoptera Butterfly Nymphalidae Athyma perius perinus nan
468,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma perius,Athyma perius,,Lepidoptera Butterfly Nymphalidae Athyma perius nan nan
477,Lepidoptera,Butterfly,Nymphalidae,Libythea,Libythea geoffroyi,Libythea geoffroyi philippina,,Lepidoptera Butterfly Nymphalidae Libythea geoffroyi philippina nan
